ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
GOOGL,12/28/2017,1055.95,993945,1062.25,1064.84,1053.38,-1%
GOOG,12/28/2017,1048.14,833011,1051.6,1054.75,1044.77,0%
MSFT,12/28/2017,85.72,10589110,85.9,85.93,85.55,0%
TSLA,12/28/2017,315.36,4306746,311.75,315.82,309.54,1%
AAPL,12/29/2017,169.23,25938760,170.52,170.59,169.22,-1%
AMZN,12/29/2017,1169.47,2678122,1182.35,1184,1167.5,-1%
GOOGL,12/29/2017,1053.4,1178433,1055.49,1058.05,1052.7,0%
GOOG,12/29/2017,1046.4,886845,1046.72,1049.7,1044.9,0%
MSFT,12/29/2017,85.54,18547840,85.63,86.05,85.5,0%
TSLA,12/29/2017,311.35,3769504,316.18,316.41,310,-2%
AAPL,12/30/2017,169.23,25938760,170.52,170.59,169.22,-1%
AMZN,12/30/2017,1169.47,2678122,1182.35,1184,1167.5,-1%
GOOGL,12/30/2017,1053.4,1178433,1055.49,1058.05,1052.7,0%
GOOG,12/30/2017,1046.4,886845,1046.72,1049.7,1044.9,0%
MSFT,12/30/2017,85.54,18547840,85.63,86.05,85.5,0%
TSLA,12/30/2017,311.35,3769504,316.18,316.41,310,-2%
AAPL,12/31/2017,169.23,25938760,170.52,170.59,169.22,-1%
AMZN,12/31/2017,1169.47,2678122,1182.35,1184,1167.5,-1%
GOOGL,12/31/2017,1053.4,1178433,1055.49,1058.05,1052.7,0%
GOOG,12/31/2017,1046.4,886845,1046.72,1049.7,1044.9,0%
MSFT,12/31/2017,85.54,18547840,85.63,86.05,85.5,0%
TSLA,12/31/2017,311.35,3769504,316.18,316.41,310,-2%
AAPL,1/1/2018,169.23,25938760,170.52,170.59,169.22,-1%
AMZN,1/1/2018,1169.47,2678122,1182.35,1184,1167.5,-1%
GOOGL,1/1/2018,1053.4,1178433,1055.49,1058.05,1052.7,0%
GOOG,1/1/2018,1046.4,886845,1046.72,1049.7,1044.9,0%
MSFT,1/1/2018,85.54,18547840,85.63,86.05,85.5,0%
TSLA,1/1/2018,311.35,3769504,316.18,316.41,310,-2%
AAPL,1/2/2018,172.26,25400540,170.16,172.3,169.26,1%
AMZN,1/2/2018,1189.01,2673958,1172,1190,1170.51,1%
GOOGL,1/2/2018,1073.21,1587358,1053.02,1075.98,1053.02,2%
GOOG,1/2/2018,1065,1236401,1048.34,1066.94,1045.23,2%
MSFT,1/2/2018,85.95,22122680,86.125,86.31,85.5,0%
TSLA,1/2/2018,320.53,4345615,312,322.1099,311,3%
AAPL,1/3/2018,172.23,29461040,172.53,174.55,171.96,0%
AMZN,1/3/2018,1204.2,3094175,1188.3,1205.49,1188.3,1%
GOOGL,1/3/2018,1091.52,1564410,1073.93,1096.1,1073.43,2%
GOOG,1/3/2018,1082.48,1429757,1064.31,1086.29,1063.21,2%
MSFT,1/3/2018,86.35,25979960,86.055,86.51,85.97,0%
TSLA,1/3/2018,317.25,4438520,321,325.25,315.55,-1%
AAPL,1/4/2018,173.03,22342650,172.54,173.47,172.08,0%
AMZN,1/4/2018,1209.59,3015997,1205,1215.8699,1204.66,0%
GOOGL,1/4/2018,1095.76,1302470,1097.09,1104.0765,1094.26,0%
GOOG,1/4/2018,1086.4,1002945,1088,1093.5699,1084.0017,0%
MSFT,1/4/2018,87.11,21904860,86.59,87.66,86.57,1%
TSLA,1/4/2018,314.62,9944593,312.87,318.55,305.68,1%
AAPL,1/5/2018,175,23589930,173.44,175.37,173.05,1%
AMZN,1/5/2018,1229.14,3536299,1217.51,1229.14,1210,1%
GOOGL,1/5/2018,1110.29,1512493,1103.45,1113.5799,1101.795,1%
GOOG,1/5/2018,1102.23,1279990,1094,1104.25,1092,1%
